i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
53,80.8278,207.66,2.34872,0,0,0.454889,0.317921,0.235569,3.6285,1.2027,0.648677,4.36007,6.94368,5.52733,1.09023,2.80019,3.82399,0.0570374,2.65508,5.20721,15.9396,1.38327,0,0.127802,3.23854,0.0330573,1.62627,1.24276,0.475429,0.998233,4.12597,9.45629,3.22756
54,143.953,15.2588,16.0964,1.24154,0.562539,9.57115,4.02583,4.52996,10.8807,5.50791,0.24765,11.3805,5.6293,6.1693,1.59619,11.8668,1.41851,9.25177,3.48875,1.2481,10.1615,1.18297,0.457104,0.0161649,11.6838,2.08553,3.94657,7.5431,3.06292,1.26548,5.45145,2.49961,5.98021
55,161.358,1.92911,21.4199,2.57144,0.348561,9.55002,5.15495,1.82587,8.65629,6.1314,1.41889,14.0125,5.54765,4.62161,5.1179,11.7451,4.32419,5.77743,4.29858,2.09831,13.7632,1.01005,6.6561,0.00256031,9.87214,1.33713,2.98794,6.68292,5.81238,0.940282,6.55253,6.21966,6.32008
56,86.6489,182.464,2.97319,2.24431,0.996766,1.2457,0.126868,2.7101,2.92422,3.27796,1.11541,6.96086,1.84407,4.0458,0.0203613,6.27538,3.9423,1.21363,2.40162,0.514773,12.4605,1.22466,1.72486,0.41955,3.41733,1.60451,0,3.64268,0.62374,0.298447,3.95251,12.0919,3.32807
57,96.2355,156.71,3.88209,0.416968,0.850278,6.71989,0,0.564502,5.99948,5.69149,0.858614,10.4595,0.081367,2.97152,1.20484,0,0.978937,1.18492,1.51956,2.11547,14.0086,1.20622,1.25719,0.0140479,6.48606,3.68882,3.86779,0.27317,0.131796,0.0814137,7.30174,12.7546,3.5467
58,78.2028,197.506,3.56753,1.57702,0.683969,5.49607,2.11328,1.67499,3.69304,3.83078,0.99443,2.2142,1.75405,4.05948,0,5.02225,3.90424,0.0792402,1.17848,0.284565,13.6352,0,1.93777,0.0284256,2.6803,0.460371,0.0506769,0.747589,1.99467,0.83589,3.62237,11.1913,2.45811
59,150.34,10.476,17.7294,0.610435,0.923052,14.8824,3.6758,2.22396,8.16589,5.51954,0.0149396,14.1103,5.52941,3.75454,3.04257,12.3031,5.59084,3.18276,3.81006,0.50249,12.8317,1.14586,3.53704,3.53669e-05,10.9002,2.67742,2.81552,6.95137,2.88958,0.989904,3.5829,8.22994,5.94663
60,118.799,83.5524,7.30427,2.02578,2.63159,7.23181,2.11144,1.62894,7.94128,6.35535,2.23287,6.0994,2.02265,1.84023,3.14285,8.04859,4.71575,2.12545,4.22703,0.411747,10.6156,1.17709,3.25187,0.324001,7.41858,0.367621,0.00142674,4.71411,0.145245,1.47676,6.36522,14.8387,3.31024
61,84.0368,195.021,2.80594,1.88647,0.34302,0.69919,0.0605003,3.06204,3.3352,3.26403,0.930035,6.82202,1.70698,4.20026,0.119533,6.46596,1.82266,1.07437,2.76403,0.540057,12.4651,1.22893,1.62561,0.424055,3.31785,1.91065,0,3.7951,0.342731,0.223601,3.96072,12.1995,3.44659
62,103.623,136.292,4.21135,0.212665,0.052058,6.32865,1.88846,0.379171,6.20915,5.88397,1.65565,10.5405,0.2913,3.51546,1.27137,0.118801,1.028,1.45053,1.57289,1.86278,18.1913,1.2663,1.02031,0,8.55512,3.44584,3.15783,0.0912274,0.414933,0.073853,7.61511,12.4545,3.07513
63,160.442,0.501134,22.2582,1.08547,2.80088,10.6246,3.90772,6.4944,9.3514,5.05436,0.357317,14.7362,5.26963,3.12498,5.11769,11.5333,4.44612,4.6375,5.95358,4.02543,13.1579,1.23769,3.5037,0.0125571,10.3849,0.667243,1.9894,6.13891,7.15295,0.934636,4.53487,6.2854,5.9214
64,126.183,65.0439,9.00702,0.758436,1.57567,8.11149,8.54336,1.17635,8.3657,0.395812,4.04001,8.54104,2.09368,4.09511,4.67868,3.54764,5.33916,4.23723,1.84593,0.448868,12.4644,3.21721,0.010311,0.000420676,8.24692,4.79918,1.68653,2.5635,1.06925,1.8186,5.49562,15.2209,1.79623
65,118.62,84.4113,7.236,2.02578,2.62169,6.86646,2.11144,1.65355,7.94128,6.35535,2.25061,6.0994,2.39829,1.84023,3.14285,8.04859,4.49644,2.12545,4.20465,0.411747,10.6156,1.1767,3.25168,0.316232,7.3732,0.367621,0.00142674,4.71411,0.180962,1.47676,6.41612,14.8387,3.29682
